wsp,tip_speed
3.0,62.83185307
3.5,62.83185307
4.0,62.83185307
4.5,62.83185307
5.0,62.83185307
5.5,62.83185307
6.0,62.83185307
6.5,62.83185307
7.0,62.99164704
7.5,67.48190029
8.0,71.96795637
8.5,76.45942855
9.0,80.95761118
9.5,85.46358496
10.0,89.97802847
10.5,94.5012056
11.0,95.00176184
11.5,95.00176184
12.0,95.00176184
12.5,95.00176184
13.0,95.00176184
13.5,95.00176184
14.0,95.00176184
14.5,95.00176184
15.0,95.00176184
15.5,95.00176184
16.0,95.00176184
16.5,95.00176184
17.0,95.00176184
17.5,95.00176184
18.0,95.00176184
18.5,95.00176184
19.0,95.00176184
19.5,95.00176184
20.0,95.00176184
20.5,95.00176184
21.0,95.00176184
21.5,95.00176184
22.0,95.00176184
22.5,95.00176184
23.0,95.00176184
23.5,95.00176184
24.0,95.00176184
24.5,95.00176184
25.0,95.00176184
